shipment_id,commodity,hs_code,declared_value_usd,contract_value_usd,market_price_per_unit,declared_vs_market_ratio,declared_vs_contract_ratio,market_outlier_flag,contract_deviation_flag,benford_rare_digit_flag,is_round_value,risk_score,risk_category,risk_reasons
SHP08502,Machinery,260300,38841,38930,36.69,0.7123999520187876,0.9977138453634729,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP06738,Textiles,520942,69899,68974,368.77,0.679377525772735,1.0134108504653927,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP07167,Machinery,520942,143450,144134,696.54,1.0095418418322049,0.9952544160295281,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP07222,Agricultural,260300,117509,117442,53.2,2.2724442278535846,1.0005704943716898,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP07794,Electronics,260300,63853,63089,1231.97,0.7622058214748354,1.0121098765236411,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP07803,Machinery,100610,67468,66523,37.35,1.8264632510493608,1.0142056130962223,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP00011,Minerals,520942,53984,54136,21.54,21.984394598380817,0.9971922565390867,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP02126,Agricultural,260300,110578,110793,43.51,1.1738747111836998,0.9980594441887123,True,False,False,False,30,Medium,Unusual price vs peer commodities
SHP02158,Textiles,260300,93291,93372,1128.92,0.017871407427768486,0.9991325022490682,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP09569,Textiles,100610,81549,82054,2584.05,0.007159391985547526,0.9938455163672704,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP09859,Agricultural,260300,85488,86285,834.77,0.05695720066924977,0.9907631685692763,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP09829,Textiles,847130,85494,85356,1181.91,0.01714923115564094,1.0016167580486433,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP09790,Agricultural,100610,82046,81759,1496.78,0.0472950844459307,1.0035103169070072,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP09786,Minerals,260300,96989,97211,2572.82,0.011667454621945296,0.9977163078252461,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00234,Electronics,843890,95373,94515,2555.02,0.011253449548127152,1.0090779241390255,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00232,Electronics,847130,81559,81296,357.36,0.21490248429896244,1.0032350915174177,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00219,Minerals,260300,80388,80460,2342.67,0.01386452210511937,0.9991051454138703,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00176,Textiles,260300,87879,87777,1388.98,0.014078489001188278,1.0011620356129738,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00158,Agricultural,847130,88300,88251,392.9,0.11333288924296325,1.000555234501592,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP09686,Machinery,843890,92694,91944,263.16,0.07540877373687496,1.008157139128165,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP09549,Minerals,100610,89108,88154,2987.64,0.06936173935840469,1.0108219706422852,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP09533,Minerals,100610,85913,85018,2595.34,0.07389016055149393,1.0105271824790045,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01911,Electronics,260300,95153,94554,1147.2,0.017814366190263938,1.0063350043361465,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01876,Agricultural,260300,92404,91800,878.08,0.09142845111235509,1.0065795206971677,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01873,Minerals,100610,84618,85438,2959.35,0.043127362182917905,0.9904023970598562,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01867,Machinery,520942,91728,91976,2149.7,0.014209170835676861,0.9973036444289815,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP02309,Agricultural,100610,97480,97059,2956.58,0.015881756626814472,1.0043375678710886,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP02299,Electronics,260300,95636,96560,533.78,0.06180318981128572,0.9904308202154101,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP02295,Agricultural,260300,90265,90641,1630.0,0.08720834742282982,0.9958517668604715,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP02279,Electronics,843890,80186,81163,1433.33,0.028268747363421783,0.987962495225657,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP02255,Machinery,520942,94006,94635,1331.9,0.024799850281779546,0.9933534104718128,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP02251,Electronics,843890,89624,89729,522.06,0.10803886342016296,0.9988298097605011,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP02234,Agricultural,847130,95947,96184,1149.0,0.6473239284581808,0.9975359727189553,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP02162,Machinery,847130,95351,95760,1629.95,0.028370194214629767,0.9957289055973266,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP09732,Textiles,260300,85802,85373,1532.21,0.015304414138395507,1.005025007906481,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP09755,Agricultural,843890,97918,97789,1791.91,0.07143069999102356,1.0013191667774495,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP02125,Electronics,843890,88845,89401,2229.7,0.01611899985674419,0.993780830192056,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP02109,Agricultural,847130,96956,96471,607.25,0.06725529034694853,1.0050274175659006,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00629,Minerals,260300,8729,9669,1662.65,0.00972231967931604,0.9027820870824284,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07901,Electronics,260300,98709,99258,2441.44,0.008327630790263468,0.9944689596808318,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07887,Machinery,847130,87449,87191,1505.8,0.04725368391122539,1.0029590209998738,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07760,Textiles,847130,86703,85863,1668.96,0.10048417091814739,1.0097830264491108,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07704,Textiles,520942,94960,95112,374.53,0.12489874008264415,0.9984018840945412,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07692,Agricultural,847130,91624,91721,661.81,0.02856883381817057,0.9989424450234952,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07672,Minerals,520942,96814,96434,1073.82,0.05031166270218207,1.003940518904121,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07617,Minerals,843890,95868,96168,1909.69,0.0898046832447241,0.9968804591964063,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07607,Machinery,847130,92895,93125,2292.05,0.010488928718100816,0.9975302013422819,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07579,Agricultural,847130,95687,94779,1682.39,0.03034985872838079,1.0095801812637821,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07444,Minerals,520942,82908,82365,534.89,0.04441263423414428,1.0065926060826806,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07433,Agricultural,520942,9917,9043,1665.87,0.01570724421048987,1.0966493420325114,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07263,Agricultural,843890,97221,97970,52.45,0.45655022141659657,0.9923548024905583,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07228,Textiles,843890,80681,80662,1908.46,0.06347664747631213,1.0002355508169893,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07209,Minerals,847130,96605,96712,1473.91,0.01944906548352676,0.9988936223012657,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07205,Agricultural,847130,98462,98680,1385.61,0.01898487827701897,0.9977908390758006,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07197,Agricultural,843890,81218,80466,897.44,0.024243140484918685,1.009345562100763,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07177,Agricultural,260300,96588,96389,2496.03,0.04999567219721662,1.0020645509342352,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07078,Minerals,100610,90426,90444,1618.57,0.02546391702470026,0.9998009818230065,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06873,Electronics,843890,90030,89275,1476.82,0.013481217855875596,1.008457014841781,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06858,Electronics,100610,93833,93128,2647.06,0.009159691593682864,1.0075702259256079,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06794,Electronics,843890,84171,84269,1886.95,0.014649229991266173,0.9988370575181859,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06726,Agricultural,260300,96282,96417,193.53,0.20020292269817946,0.9985998319798376,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06715,Textiles,260300,98258,98800,2820.07,0.007060262923837761,0.9945141700404858,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06665,Electronics,100610,91670,92505,1085.24,0.0676841303684214,0.9909734608940057,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00915,Textiles,520942,80379,81305,2342.51,0.10033097651214878,0.988610786544493,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00589,Electronics,847130,91005,90689,2022.74,0.1540786057051868,1.0034844358191182,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00567,Machinery,847130,82986,83348,2305.18,0.007619003549906993,0.9956567644094639,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00450,Minerals,843890,96683,96919,237.53,0.15412150732852287,0.9975649769395062,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP08519,Electronics,100610,82495,82481,2914.55,0.008329764864556024,1.000169736060426,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP08504,Agricultural,260300,8002,8268,2103.09,0.0016163456180488527,0.9678277697145622,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP08455,Minerals,847130,92937,93464,1902.04,0.09543310241898173,0.9943614653770436,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP08422,Machinery,847130,93279,93510,1636.98,0.0158990987650604,0.9975296759704845,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP08413,Minerals,100610,85222,85065,574.71,0.062410337592603435,1.0018456474460706,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP08273,Minerals,100610,85984,85530,418.64,0.07504160696839658,1.0053080790365954,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP08125,Minerals,260300,97161,97793,2113.9,0.010291740293975091,0.9935373697503911,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP08118,Electronics,520942,85024,85695,1951.5,0.012761727306034849,0.9921699048952681,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP08079,Electronics,843890,92563,92909,2152.16,0.0177871582908623,0.996275925905994,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP07981,Minerals,260300,83262,83958,34.89,0.5388156345450051,0.991710140784678,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00689,Electronics,260300,83518,84418,2187.97,0.013840266763212353,0.9893387666137553,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00909,Electronics,260300,96428,96555,868.05,0.02655013550404122,0.9986846874838176,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP00868,Electronics,847130,82924,83812,841.62,0.021817765135520726,0.9894048584928172,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06605,Machinery,843890,89281,88817,2470.29,0.008526046346768961,1.0052242250920431,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06595,Electronics,260300,81863,81284,1875.03,0.008832605323402156,1.0071231730721912,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06534,Machinery,847130,8305,8661,464.66,0.007274433736793311,0.9588962013624293,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06518,Electronics,520942,85166,84902,1007.66,0.19747333555803667,1.0031094673859273,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06451,Minerals,520942,93205,93685,815.39,0.032372490515047835,0.9948764476703847,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06386,Machinery,260300,96765,96128,1285.78,0.02001537770102625,1.0066265812250332,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06367,Minerals,260300,97272,97712,606.51,0.04341631789935722,0.9954969706893728,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06346,Electronics,100610,96072,95895,1037.57,0.1218332510729777,1.0018457688096356,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06312,Minerals,100610,93314,93747,2349.72,0.02270601306247143,0.9953811855312703,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01021,Machinery,260300,84415,83555,980.71,0.0226693163964049,1.0102926216264736,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06268,Machinery,520942,84664,85132,2300.52,0.01731049590996802,0.994502654700935,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06191,Machinery,100610,82813,82463,1389.25,0.014322407841428794,1.0042443277591162,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06053,Textiles,100610,93650,92904,2477.73,0.0075699364992421175,1.0080297941961596,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06024,Agricultural,520942,91037,91487,2064.54,0.03221003434649613,0.9950812683769279,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP06022,Textiles,843890,97687,98465,2014.14,0.013211822596752536,0.992098715279541,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05991,Machinery,520942,83221,83547,1218.25,0.07071627623202852,0.9960980047159084,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05962,Machinery,100610,94015,93132,388.51,0.08310048873676579,1.0094811665163423,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05961,Textiles,100610,85832,86822,1561.01,0.035201609227670905,0.9885973601160996,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05953,Agricultural,100610,89039,89675,169.04,0.11356906372530715,0.9929077223306384,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05949,Electronics,847130,85777,85456,626.8,0.032161944692118666,1.003756319041378,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05937,Minerals,260300,90050,89645,1636.58,0.021637153069274974,1.0045178202911484,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05836,Machinery,100610,86784,86107,541.43,0.045432723446765626,1.007862310845808,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05808,Electronics,520942,94835,95284,2205.9,0.010153878775268018,0.9952877712942362,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05777,Agricultural,520942,94125,94144,2642.44,0.007763837647239645,0.9997981815091774,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01096,Machinery,843890,95555,96093,614.22,0.10699538767075424,0.9944012571155026,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01060,Electronics,100610,90481,90372,2825.74,0.017564610505708393,1.0012061257911742,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01055,Agricultural,260300,89739,88938,2986.47,0.010036245430820859,1.0090062740335963,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05719,Agricultural,843890,99151,99586,1369.88,0.015324863962794207,0.9956319161327898,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05712,Electronics,100610,85312,85375,1743.85,0.010089016065668907,0.9992620790629575,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05655,Agricultural,260300,87186,87456,1248.06,0.04940397341086379,0.9969127332601537,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05654,Machinery,100610,81723,82564,1194.67,0.24784905127521115,0.9898139625018167,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05645,Agricultural,843890,84114,83256,403.52,0.22222882134022312,1.0103055635629865,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05628,Minerals,520942,95771,96264,203.98,0.27360822659381345,0.9948786669990859,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05509,Agricultural,847130,85614,85589,2306.35,0.009111681895853074,1.0002920936101602,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05444,Minerals,843890,84222,84101,1096.58,0.029460777110951155,1.0014387462693666,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05342,Textiles,847130,96579,97260,1242.45,0.027555017916154015,0.9929981492905614,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05321,Minerals,100610,98726,99357,2793.64,0.008195630100589733,0.9936491641253259,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05289,Minerals,843890,92206,91572,1647.75,0.01215173324727514,1.0069235137378238,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05234,Electronics,843890,97312,96450,1234.91,0.03599857664457168,1.0089372731985484,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01198,Minerals,843890,80088,79738,2065.65,0.0119443410529946,1.0043893752037925,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05152,Agricultural,843890,98984,98607,2977.94,0.07676462987627838,1.0038232579837132,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05126,Textiles,520942,92843,93348,2438.01,0.018134032420274067,0.9945901358357973,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05121,Machinery,843890,88943,88227,2783.44,0.015834660190609976,1.0081154295170414,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05073,Minerals,260300,96258,96193,1501.81,0.021479443401923252,1.0006757248448432,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP05000,Minerals,843890,9214,8725,874.48,0.006014011092410718,1.0560458452722064,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04975,Agricultural,843890,84948,85579,1098.65,0.03858300783405655,0.9926266958015401,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04887,Electronics,100610,97221,97882,2289.81,0.01587812560880561,0.993246970842443,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04885,Minerals,260300,92601,92993,1761.95,0.028255900491482588,0.9957846289505662,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04695,Agricultural,847130,93601,94006,1623.06,0.046771665735790544,0.9956917643554667,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04691,Minerals,260300,92473,92501,646.19,0.050247531294496994,0.9996973005697236,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04632,Textiles,843890,9014,8984,847.75,0.0038316582580811423,1.0033392698130008,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01293,Agricultural,520942,90015,90311,603.62,0.07554472010763026,0.996722436912447,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01276,Minerals,100610,98034,97688,2578.1,0.009964800268541579,1.0035418884612235,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01224,Electronics,100610,9646,10351,795.1,0.003940177758958747,0.9318906385856439,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04513,Minerals,847130,83255,83751,2387.44,0.02046483600639906,0.9940776826545354,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04466,Machinery,520942,94022,93134,503.81,0.16500613687977014,1.0095346490003652,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04403,Machinery,843890,82049,82017,1030.53,0.3652213517636823,1.0003901630149847,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04325,Electronics,843890,89718,89348,2392.87,0.008527152170239161,1.0041411111608542,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04238,Agricultural,843890,80048,80750,2817.83,0.030029255190064653,0.9913065015479876,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04227,Textiles,100610,96528,97480,2480.57,0.007961054988767133,0.9902338941321297,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04224,Textiles,843890,99550,100424,2229.03,0.01711793100831387,0.9912969011391699,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04157,Electronics,843890,96511,97131,2773.47,0.009999403626868686,0.993616867941234,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04125,Agricultural,100610,84821,84569,1236.59,0.0337230393700989,1.0029798152987501,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04073,Agricultural,847130,84109,85067,2146.27,0.018741488534008834,0.9887382886430696,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04061,Textiles,847130,86709,86468,1294.44,0.03277188040906672,1.002787158255077,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01421,Minerals,100610,85140,84954,2971.17,0.01660218898282249,1.0021894201567907,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01385,Textiles,847130,98899,99694,1947.69,0.011646235736043183,0.9920255983308925,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP01384,Minerals,100610,92594,92315,2333.02,0.01414918803993404,1.0030222607376915,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04017,Machinery,260300,84726,83971,2501.04,0.01594179174404624,1.0089911993426302,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
SHP04010,Textiles,843890,9957,9540,983.76,0.0023488909413120645,1.0437106918238994,False,False,True,False,20,Medium,Value pattern statistically unusual (Benford)
